building_id,damage_grade
802906,1.0
28830,0.5
94947,1.0
590882,0.5
201944,1.0
333020,0.5
728451,1.0
475515,0.0
441126,0.5
989500,0.0
7962,1.0
452227,0.5
444381,0.5
287845,1.0
605134,1.0
563431,0.5
633759,0.5
980230,1.0
354011,0.5
483543,1.0
793397,0.5
433870,0.5
219578,0.5
933368,0.5
519606,0.5
801078,1.0
973909,0.5
858160,0.5
466558,0.5
529366,1.0
406413,0.5
16485,0.5
157370,0.5
119565,0.5
141871,1.0
903120,1.0
864809,0.0
252816,1.0
33651,1.0
90130,0.5
306024,0.5
677028,0.5
833827,1.0
180267,0.5
1005736,0.5
440102,0.0
132583,0.5
362494,0.5
987864,1.0
402996,0.0
871517,0.5
877361,0.5
605460,0.5
288541,0.0
893477,1.0
135600,1.0
987565,1.0
552720,0.5
624119,1.0
302199,0.5
961851,0.5
1044113,0.5
270811,0.5
767109,1.0
415067,0.5
439999,0.5
799678,0.5
648002,0.5
388581,1.0
612701,1.0
591993,1.0
708530,0.5
645774,1.0
907445,0.5
483230,0.5
1041381,0.5
425720,0.0
426951,0.5
732884,0.5
206961,1.0
529881,0.5
118711,0.5
965807,1.0
928851,0.5
603867,1.0
67684,1.0
361363,0.5
645772,1.0
931198,0.5
250898,1.0
351011,0.5
852077,1.0
262843,0.5
311370,1.0
722503,1.0
551423,1.0
511997,1.0
266161,0.5
643474,1.0
697129,0.5
623033,0.5
601975,0.5
95369,0.5
96470,0.5
834001,0.5
820425,0.5
627034,0.5
71947,0.5
635262,0.0
792665,0.5
677652,1.0
402299,0.5
843295,0.5
871860,0.5
533100,0.0
790140,0.5
170270,1.0
550121,0.5
32048,1.0
605667,0.5
824847,0.5
799967,1.0
550067,0.5
187320,0.5
767971,0.5
591587,1.0
358906,0.5
247133,0.5
718071,0.5
663374,0.5
849622,0.5
902337,1.0
124969,0.5
402491,1.0
714885,1.0
1009839,0.5
93340,1.0
656607,0.5
719281,0.5
563429,0.5
958524,0.5
295363,0.0
910378,0.5
238065,0.5
301655,0.5
712335,1.0
569370,0.5
954281,1.0
760600,0.5
618331,1.0
932074,0.5
86370,1.0
890803,0.5
996541,0.5
699254,1.0
294469,0.5
543292,0.5
852187,1.0
187122,0.5
913994,0.5
456795,1.0
838913,0.5
731999,1.0
377912,1.0
60500,0.5
325898,0.5
670184,0.5
638140,1.0
445215,1.0
212481,0.5
964939,0.5
304846,0.5
907103,1.0
757178,1.0
681221,1.0
443607,1.0
561297,0.5
475461,0.5
933242,0.0
206779,1.0
855142,0.5
745413,1.0
76950,0.0
358013,0.0
891578,0.5
492867,1.0
261907,1.0
213830,1.0
911759,1.0
798975,1.0
509749,0.0
959512,0.5
512910,0.0
117590,1.0
566185,0.0
441023,1.0
225834,0.5
504208,1.0
692192,1.0
146670,0.5
838647,0.5
415919,0.5
150733,1.0
930554,0.5
687280,1.0
38340,0.5
542385,0.5
158901,1.0
1025864,0.5
939805,0.5
794193,0.5
1015061,0.5
433188,0.5
879546,1.0
29061,0.5
331971,0.0
612661,0.5
497383,0.5
385806,1.0
103441,1.0
184776,1.0
703296,0.5
599025,0.5
419957,0.5
116876,1.0
515935,0.5
122112,0.5
910366,0.5
168711,0.5
343093,0.5
580903,0.5
698124,0.5
633219,0.5
866259,0.0
542830,0.5
586356,1.0
273988,0.5
1048981,0.5
337221,0.5
921736,0.0
884288,0.5
1022710,1.0
724285,0.5
14451,0.5
841664,1.0
27947,1.0
207750,1.0
64707,0.5
920565,0.0
145522,0.5
568881,0.5
118080,1.0
75283,0.5
604893,1.0
627420,1.0
536831,0.5
35282,1.0
102240,0.5
510669,1.0
181389,0.5
